Correlativo,Timestamp,Estado anterior,Estado nuevo,Motivo
2134,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
1083,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
2003,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
428,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
468,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
1136,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
413,2026-01-05 08:05:00,PROGRAMADA,EN_CURSO,
2003,2026-01-05 08:45:00,EN_CURSO,REALIZADA,
428,2026-01-05 09:00:00,EN_CURSO,REALIZADA,
468,2026-01-05 09:00:00,EN_CURSO,REALIZADA,
1136,2026-01-05 09:00:00,EN_CURSO,REALIZADA,
1762,2026-01-05 09:00:00,PROGRAMADA,EN_CURSO,
1979,2026-01-05 09:00:00,PROGRAMADA,EN_CURSO,
1307,2026-01-05 09:00:00,PROGRAMADA,EN_CURSO,
1350,2026-01-05 09:00:00,PROGRAMADA,EN_CURSO,
1083,2026-01-05 09:30:00,EN_CURSO,REALIZADA,
1762,2026-01-05 09:45:00,EN_CURSO,REALIZADA,
2134,2026-01-05 10:00:00,EN_CURSO,REALIZADA,
413,2026-01-05 10:00:00,EN_CURSO,REALIZADA,
1979,2026-01-05 10:00:00,EN_CURSO,REALIZADA,
1307,2026-01-05 10:00:00,EN_CURSO,REALIZADA,
1350,2026-01-05 10:00:00,EN_CURSO,REALIZADA,
447,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
1932,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
1190,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
326,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
1945,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
1916,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
2098,2026-01-05 10:00:00,PROGRAMADA,EN_CURSO,
1190,2026-01-05 10:45:00,EN_CURSO,REALIZADA,
1691,2026-01-05 10:45:00,PROGRAMADA,EN_CURSO,
447,2026-01-05 11:00:00,EN_CURSO,REALIZADA,
1932,2026-01-05 11:00:00,EN_CURSO,REALIZADA,
326,2026-01-05 11:00:00,EN_CURSO,REALIZADA,
1945,2026-01-05 11:00:00,EN_CURSO,REALIZADA,
1916,2026-01-05 11:00:00,EN_CURSO,REALIZADA,
1286,2026-01-05 11:00:00,PROGRAMADA,EN_CURSO,
1807,2026-01-05 11:00:00,PROGRAMADA,EN_CURSO,
329,2026-01-05 11:00:00,PROGRAMADA,EN_CURSO,
1691,2026-01-05 11:30:00,EN_CURSO,REALIZADA,
495,2026-01-05 11:30:00,PROGRAMADA,EN_CURSO,
2098,2026-01-05 12:00:00,EN_CURSO,REALIZADA,
1286,2026-01-05 12:00:00,EN_CURSO,REALIZADA,
1807,2026-01-05 12:00:00,EN_CURSO,REALIZADA,
329,2026-01-05 12:00:00,EN_CURSO,REALIZADA,
1681,2026-01-05 12:00:00,PROGRAMADA,EN_CURSO,
1091,2026-01-05 12:00:00,PROGRAMADA,EN_CURSO,
397,2026-01-05 12:00:00,PROGRAMADA,EN_CURSO,
2056,2026-01-05 12:00:00,PROGRAMADA,EN_CURSO,
495,2026-01-05 12:15:00,EN_CURSO,REALIZADA,
354,2026-01-05 12:15:00,PROGRAMADA,EN_CURSO,
1994,2026-01-05 12:30:00,PROGRAMADA,EN_CURSO,
1681,2026-01-05 13:00:00,EN_CURSO,REALIZADA,
1091,2026-01-05 13:00:00,EN_CURSO,REALIZADA,
397,2026-01-05 13:00:00,EN_CURSO,REALIZADA,
2056,2026-01-05 13:00:00,EN_CURSO,REALIZADA,
354,2026-01-05 13:00:00,EN_CURSO,REALIZADA,
327,2026-01-05 13:00:00,PROGRAMADA,EN_CURSO,
1268,2026-01-05 13:00:00,PROGRAMADA,EN_CURSO,
1067,2026-01-05 13:00:00,PROGRAMADA,EN_CURSO,
1994,2026-01-05 14:00:00,EN_CURSO,REALIZADA,
327,2026-01-05 14:00:00,EN_CURSO,REALIZADA,
1268,2026-01-05 14:00:00,EN_CURSO,REALIZADA,
1067,2026-01-05 14:00:00,EN_CURSO,REALIZADA,
2101,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
1324,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
526,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
1808,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
608,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
2062,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
515,2026-01-05 14:00:00,PROGRAMADA,EN_CURSO,
2101,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
1324,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
526,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
1808,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
608,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
2062,2026-01-05 15:00:00,EN_CURSO,REALIZADA,
1047,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
663,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
534,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
1163,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
1950,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
1169,2026-01-05 15:00:00,PROGRAMADA,EN_CURSO,
515,2026-01-05 16:00:00,EN_CURSO,REALIZADA,
1047,2026-01-05 16:00:00,EN_CURSO,REALIZADA,
663,2026-01-05 16:00:00,EN_CURSO,REALIZADA,
534,2026-01-05 16:00:00,EN_CURSO,REALIZADA,
